,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
50,harmony,51.59975266456604,88.25,32467910656.0,12.2,76680040448
51,harmony,52.60835528373718,66.0,32467910656.0,12.5,76681588736
52,harmony,53.650923013687134,79.0,32467910656.0,12.5,76681998336
53,harmony,54.731841802597046,94.625,32468172800.0,12.9,76683829248
54,harmony,55.76755714416504,72.5,32468172800.0,12.6,76684894208
55,harmony,56.78800868988037,0.0,32468172800.0,10.9,76684636160
56,harmony,57.79187631607056,0.0,32468172800.0,10.3,76685398016
57,harmony,58.79573607444763,98.375,32468172800.0,11.1,76691075072
58,harmony,59.863224029541016,99.75,32468172800.0,12.3,76691075072
59,harmony,60.95335102081299,81.75,32468172800.0,12.4,76691333120
60,harmony,61.977885007858276,69.0,32468172800.0,12.4,76691075072
61,harmony,62.993287086486816,75.125,32468172800.0,12.4,76691075072
62,harmony,64.02291250228882,87.0,32468172800.0,12.4,76691042304
63,harmony,65.03547143936157,67.375,32468172800.0,12.9,76685234176
64,harmony,66.14309048652649,0.0,32468172800.0,10.9,76683927552
65,harmony,67.14694261550903,0.0,32468172800.0,10.4,76683145216
66,harmony,68.15066695213318,99.25,32468172800.0,10.9,76682887168
67,harmony,69.15574502944946,100.0,32468172800.0,12.1,76682887168
68,harmony,70.3004457950592,98.75,32468172800.0,12.7,76684435456
69,harmony,71.34391164779663,80.375,32468172800.0,13.0,76691767296
70,harmony,72.37877440452576,85.375,32468172800.0,12.4,76690554880
71,harmony,73.50635814666748,98.875,32468172800.0,12.4,76690554880
72,harmony,74.52264308929443,64.75,32468172800.0,12.5,76690296832
73,harmony,75.54219770431519,0.0,32468172800.0,11.5,76691070976
74,harmony,76.54625964164734,0.0,32468172800.0,10.3,76696350720
75,harmony,77.55014944076538,23.5,32468172800.0,10.4,76696051712
76,harmony,78.56381440162659,95.25,32468172800.0,11.9,76695818240
77,harmony,79.64092803001404,97.5,32468172800.0,12.5,76695527424
78,harmony,80.67392683029175,100.0,32468172800.0,12.2,76695478272
79,harmony,81.6985113620758,100.0,32468172800.0,12.6,76695465984
80,harmony,82.70380568504333,100.0,32468172800.0,12.3,76695461888
81,harmony,83.76833391189575,66.0,32468172800.0,12.7,76695973888
82,harmony,84.81294345855713,12.0,32468172800.0,12.0,76698324992
83,harmony,85.81641435623169,0.0,32468172800.0,11.0,76696702976
84,harmony,86.81970977783203,0.75,32468172800.0,10.3,76697178112
85,harmony,87.82727789878845,77.125,32468172800.0,11.9,76697124864
86,harmony,88.8836042881012,95.125,32468172800.0,12.1,76696866816
87,harmony,89.9241144657135,89.625,32468172800.0,12.4,76696866816
